#SampleID	CF010.-355D.RA5.01.35268.mzXML	CF012.23D.RA1.01.35522.mzXML	CF034.-327D.RA9.01.35276.mzXML	CF034.51D.RH4.01.35446.mzXML	CF037.-196D.RD8.01.35352.mzXML	CF041.-222D.RC9.01.35328.mzXML	CF046.-140D.RE10.01.35382.mzXML	CF053.0D.RF12.01.35412.mzXML	CF061.-140D.RE9.01.35380.mzXML	CF061.-14D.RF9.01.35406.mzXML	CF064.-222D.RC10.01.35330.mzXML	CF066.-131D.RF2.01.35392.mzXML	CF069.-173D.RE1.01.35364.mzXML	CF075.156D.BA7.01.35481.mzXML	CF077.-131D.RF1.01.35390.mzXML	CF082.-161D.RE3.01.35368.mzXML	CF083.-313D.RB1.01.35286.mzXML	CF086.-243D.RC4.01.35318.mzXML	CF092.21D.RG12.01.35437.mzXML	CF093.65D.RH5.01.35448.mzXML	CF095.-14D.RF10.01.35408.mzXML	CF104.0D.RF11.01.35410.mzXML	CF107.-215D.RC12.01.35334.mzXML	CF130.-271D.RB11.01.35306.mzXML	CF138.23D.RH1.01.35440.mzXML	CF139.-313D.RB2.01.35288.mzXML	CF142.-180D.RD11.01.35358.mzXML	CF146.91D.RH9.01.35456.mzXML	CF148.-243D.RC3.01.35316.mzXML	CF149.-327D.RA8.01.35274.mzXML	CF151.-243D.RC2.01.35314.mzXML	CF151.14D.RG6.01.35425.mzXML	CF154.-327D.RA10.01.35278.mzXML	CF157.-159D.RE5.01.35372.mzXML	CF160.-224D.RC8.01.35326.mzXML	CF167.-203D.RD5.01.35346.mzXML	CF175.-138D.RE12.01.35386.mzXML	CF176.133D.BA4.01.35474.mzXML	CF178.-278D.RB10.01.35304.mzXML	CF188.-194D.RD9.01.35354.mzXML	CF188.23D.RH2.01.35442.mzXML	CF189.-61D.RF6.01.35400.mzXML	CF193.-285D.RB9.01.35302.mzXML	CF204.-215D.RD2.01.35340.mzXML	CF211.-168D.RE2.01.35366.mzXML	CF217.14D.RA2.01.35524.mzXML	CF222.-320D.RA11.01.35280.mzXML	CF225.-201D.RD6.01.35348.mzXML	CF229.-271D.RB12.01.35308.mzXML	CF230.-313D.RB3.01.35290.mzXML	CF230.2D.RG4.01.35421.mzXML	CF231.-285D.RB8.01.35300.mzXML	CF234.-124D.RF3.01.35394.mzXML	CF235.-285D.RB7.01.35298.mzXML	CF236.-362D.RA2.01.35262.mzXML	CF239.-336D.RA6.01.35270.mzXML	CF246.-215D.RD1.01.35338.mzXML	CF247.135D.BA6.01.35478.mzXML	CF252.-138D.RE11.01.35384.mzXML	CF252.114D.RA3.01.35526.mzXML	CF254.-0D.RG1.01.35415.mzXML	CF259.2D.RG2.01.35417.mzXML	CF259.79D.RH7.01.35452.mzXML	CF262.-187D.RD10.01.35356.mzXML	CF264.-124D.RF5.01.35398.mzXML	CF269.-152D.RE7.01.35376.mzXML	CF272.-362D.RA1.01.35260.mzXML	CF277.-159D.RE4.01.35370.mzXML	CF278.-217D.RC11.01.35332.mzXML	CF282.-208D.RD3.01.35342.mzXML	CF287.-243D.RC5.01.35320.mzXML	CF290.-173D.RD12.01.35360.mzXML	CF292.135D.BA5.01.35476.mzXML	CF298.-320D.RA12.01.35282.mzXML	CF299.-299D.RB5.01.35294.mzXML	CF301.156D.BA8.01.35483.mzXML	CF302.2D.RA4.01.35528.mzXML	CF312.-152D.RE8.01.35378.mzXML	CF318.-236D.RC6.01.35322.mzXML	CF318.-299D.RB4.01.35292.mzXML	CF318.-344D.RA7.01.35272.mzXML	CF318.-355D.RA4.01.35266.mzXML	CF318.114D.RH12.01.35462.mzXML	CF318.79D.RH8.01.35454.mzXML	CF318.93D.RH11.01.35460.mzXML	CF326.2D.RG5.01.35423.mzXML	CF328.-61D.RF7.01.35402.mzXML	CF338.-208D.RD4.01.35344.mzXML	CF339.-159D.RE6.01.35374.mzXML	CF342.-124D.RF4.01.35396.mzXML	CF343.77D.RH6.01.35450.mzXML	CF344.-196D.RD7.01.35350.mzXML	CF344.21D.RG10.01.35433.mzXML	CF35.-362D.RA3.01.35264.mzXML	CF353.128D.BA3.01.35472.mzXML	CF355.-266D.RC1.01.35312.mzXML	CF356.16D.RG8.01.35429.mzXML	CF371.-14D.RF8.01.35404.mzXML	CF374.128D.BA2.01.35470.mzXML	CF375.91D.RH10.01.35458.mzXML	CF377.21D.RG11.01.35435.mzXML	CF95.-224D.RC7.01.35324.mzXML
1	14199739	2719587	10530896	10085481	17742067	1384566	9462366	4317882	3568277	9607997	224265	2097840	11311879	7755686	919501	912851	9384634	9306570	14930277	15119352	6531713	6558856	4181264	6729006	2404316	17407109	15573314	4947171	2008386	1751565	5673482	5514447	11058200	8209136	5003669	12494653	17264909	2079662	3427209	973544	11448665	5727194	11954248	14569404	4654241	6893111	10934247	11961878	17234339	1535386	14426076	7663831	17110192	16596085	15287992	13432977	9516403	9901160	10229011	2425038	7002800	1171770	1885227	15842152	13581023	7371180	6977029	8186963	9329802	4440592	266039	4132401	3815992	4193860	18432660	19741	3779108	4935873	12646872	14321495	10768751	10936285	8880443	10334353	7272264	6635117	13542400	14537299	9265242	23662620	10382330	4102033	5801171	1973687	6150582	13250226	13876649	16974328	1733146	9230772	3640435	10427641
2	16504249	2113370	3953290	4490178	11103253	1184195	13142922	6403728	7329579	11018669	24905	1793293	14132148	3387332	291623	795179	4544303	1930598	15992340	12742269	7268650	2155742	6647467	14710198	3920105	6884716	11585032	3668545	824976	297364	1774739	4192384	14566599	6231945	3513426	11584729	19679929	5066376	1389965	761433	7649937	6738992	12051756	17666826	15856335	7810938	6477804	11880167	19923535	1071068	7928739	11799332	18135113	4842387	8156180	10549600	3489189	16084634	6874261	2292383	1711757	1109640	494511	9536688	19839867	19510034	10715586	1637463	5954635	8147018	192813	3801084	12129917	3298428	18820128	1716095	3283849	2005365	1915593	6556984	4763938	10527306	5621364	12651283	3980472	5470010	4212863	5739429	10144065	18584603	7560736	8955561	3231134	476781	12496704	9754777	6444941	7618175	7121392	3262979	1759390	8520618
3	7209194	1935999	9469850	9136451	17670616	1250477	6113094	3773203	6426911	4978643	151093	1148076	7522044	7880323	864360	794445	8494591	8023584	8847171	8291592	4179327	5633487	9021794	12541475	2144627	12856094	9654508	3842713	1435219	1478783	5306180	9077246	7188570	5475316	3584743	7052602	8373410	2930839	2769100	730927	9092834	4767771	9047323	7561618	16576420	12618258	6965347	8021766	8891902	1401048	12946019	4967299	11026382	9769849	9660143	10493577	7435478	18494780	5149491	1862808	6089699	1024038	1828255	7855077	8040697	14702127	4182033	7151019	5697712	2816121	27783	3594804	12721732	3682940	18445761	14785498	4653370	4441476	10611546	11792205	9722008	9106976	8349201	5932629	6925112	4455906	11138324	9921896	7540973	9734291	4973069	7488151	4198343	1322553	8341491	10538834	8521446	8909940	3387837	8306842	2111886	5827012
4	6501746	5696680	9177343	7796846	5418307	4330627	6742795	4666624	5613912	4531467	3451503	9816648	6439042	12645441	9614246	8857667	12833292	4590105	9484560	7003549	9087406	7001775	10142233	8370854	9046782	6570748	5079150	5759470	7698965	9743158	7886240	5300085	8265587	5814325	6070298	7023479	6566539	9976213	4335122	6981676	6643916	7981781	5598777	7726651	11042035	4279596	9222967	6795770	7979080	6037436	6175688	6552528	8159027	6234413	6899887	7677569	12475386	4183476	10115826	7620931	857702	5562856	7651253	5718524	5113658	7361405	8979942	5717273	10309004	5044484	4148434	6783815	10674035	7196040	8178842	4656958	4936572	5902533	4875822	9063050	7263386	5271068	8717246	5410760	6350298	7266058	5523321	4794724	6544053	6007354	6693218	5560559	4988585	2099537	9826182	7801660	4510162	5562517	8979254	6863213	5532745	6918794
5	8976765	1328732	3977115	3913085	18096262	1044545	8525360	5728299	5049562	5388507	48501	1292136	8856671	2668674	248088	429456	4195990	1624856	2390540	7212228	12401115	1906205	3972109	14681406	3489332	6059329	7647352	4809438	1540508	739242	1674650	14576416	6415609	3317827	5655826	6988684	19662035	3919960	3237814	515814	6628613	4357535	9155517	9000063	4467243	16788291	13927767	8114104	7867331	955422	7635207	6269519	3873915	18090863	12766908	8584728	2394208	5285909	12236934	1269009	1517813	965169	461143	16642249	4803390	5629546	7472972	1479843	11052730	5282309	218686	2425597	1686556	2782088	12737646	1716095	1998807	1828718	1704134	5916457	4462099	7696089	5398562	7191755	3792261	10894195	3907617	4453131	6722537	2674795	12898376	5539537	1728653	319254	3606462	8416924	18422099	21761225	1248187	2418752	993158	17385224
6	10872955	468316	338187	1046064	8221435	266547	8537239	2331482	1728588	3557475	18126	609309	5788894	611656	34586	238356	50588	56473	8660863	2403083	2595091	662121	1761943	7382231	1637653	4076852	5058966	516383	178858	104112	306764	7819211	6919677	2927099	1875304	3738377	14123390	1282137	1059198	318810	3373864	1551479	6353824	12182758	10304947	10669960	6664326	5973618	12346931	257692	1293843	4832089	8129248	10519095	6153396	3597798	2774201	10839497	5257738	572154	37218	363933	140761	12283295	7470225	13895393	5493323	832272	3384764	1917262	46411	459865	6005710	626417	11485331	14216878	785505	617160	70320	783634	72931	4158863	38801	3044643	489892	5146963	688705	2344848	2005988	10881478	5539774	2521645	1074110	111234	3191450	3276919	12733009	16432104	2554181	41547	555960	6180317
7	2533643	3299935	4974141	4243395	1987986	1879138	2664195	2286084	2691070	1929225	1794433	4968101	3028650	6755621	4828216	4298829	6849877	1916016	4177266	3592934	4326928	3621612	4836092	3589433	5163168	2297614	2122440	3032454	3412724	5672428	3593093	2437205	2887728	2911104	2921078	3113510	2620341	6756058	1978031	3418232	3935223	3606503	2297598	2961533	4619629	1545004	3620843	3067854	3054935	3140900	3124800	2228061	3549532	2252838	2828582	2739136	5054695	7654320	4743459	3954607	365522	2925644	4085922	2369741	2025062	2813084	4240945	2545481	4830489	2272960	2124655	3413982	5690499	3601568	3064863	988508	2633236	2889036	1899813	3728888	2830350	1949224	4930381	2785286	3292740	3408731	2489847	1926558	2931049	2412130	3588264	2606652	2368064	1185679	5185833	3290006	1748979	1996264	4357192	3466625	2868444	3194971
8	8580920	972485	286468	218802	6106805	271507	5997150	1215166	1522089	2391206	57369	582291	6349097	161486	36909	201292	2393866	205043	4745818	4339016	1578387	408307	3312778	2350779	1564407	2083852	2713547	1106917	264923	1147761	34878	3027641	2185126	1424253	1012385	2726922	11651063	2093281	466492	563105	2731361	1597184	3459173	4280321	3275332	6135723	2375507	4806349	8875987	126291	289142	1972157	9250439	12344856	4550993	1336120	3050957	4169542	1930763	813736	1838118	442360	29800	3442466	15600866	8899690	5814684	194239	2310981	7470743	54628	3009590	2361647	704277	14478307	9837706	370395	73451	164608	304310	250338	1735060	46873	4430028	486660	1235668	110320	932745	2503603	7493513	2181201	2125908	697700	223262	2188170	1701333	11673935	15636144	1234949	950266	1422812	3469961
9	1931264	687433	9621534	2059212	1139291	4387300	1342941	1634835	1100752	661102	38414	715203	2108391	4832291	850503	780897	6358027	7491054	5073707	1372185	2195351	2735013	9125865	2199320	602532	964587	1835366	1303900	4300359	15212058	1188056	600304	5785803	2652588	2969585	1314785	4197175	1737903	1523951	296278	415524	4143203	4926155	2754162	1982881	1777209	3621200	1877714	7649853	3900882	7219351	1183712	3938198	2290744	1929452	4411966	9303309	5312218	2366906	1470819	1129273	82287	486862	2622079	842432	1615097	3433349	1700479	5325923	714719	35863	3532561	3137618	2968206	6697776	2251716	2346632	200740	10018255	6519282	6708790	3648596	5413668	1962457	4572134	1099157	3080372	1313434	4100610	4535102	1324762	2116609	3243801	41273	5398781	909545	2512832	2356290	785092	1422447	807122	1646531
10	5836121	336455	378049	1703768	5197981	318357	5695692	2057832	1276253	1903386	18126	475544	4265494	12580	33307	161294	862022	431293	6422819	1351305	1844090	27571	939371	7383864	1868146	3281695	3433856	655006	310410	143968	290592	4893196	3793579	1607046	1458553	2248562	7132975	528872	816215	208782	3930340	1034333	5291255	6902695	2891972	5475112	4305641	4783843	6093615	278001	1481604	2935106	10623232	5818354	4170416	2588120	2152447	1997094	3677998	361855	772136	312616	174469	8237551	5141033	6797275	4232412	30335	2105581	1315507	46411	300312	704977	509385	6880977	4002	517610	554994	382901	1038077	591742	2418370	748464	5324004	534586	2900061	881581	1637867	41020	15378866	3792011	1492223	683012	86016	800860	2916456	7999812	3400674	1663986	1665345	372506	4068395
11	1684684	278976	6377305	6034346	1571799	1672281	1091920	1573233	579058	717521	9444	409945	1678600	4028637	349698	381667	1910099	5606099	3371768	663243	1576353	710059	1462351	2425786	243660	2952270	1691067	377386	2423000	640412	1820250	929391	5241782	1152680	2465432	1005831	3346351	246791	1621994	131013	1180648	3251041	2886743	5097098	2349369	3020645	4414973	901282	4053676	1272149	7616220	1568846	3713448	905960	1243011	7383169	1780596	1393344	2744391	936720	1118019	63111	596483	3232977	1002922	2213351	1798278	1430890	2904157	584301	25192	1718516	3241825	2204762	2262155	3990	1774031	315489	9996307	10380731	9231375	6132570	6733806	963972	5638890	1510818	6143031	1779527	3873837	3656406	1131582	1046782	1540924	39532	3671222	1417545	2321956	3209280	894391	2836331	211607	1637259
12	3670657	425705	350100	1160888	4384804	685146	3954825	3045015	723635	1335284	14655	653637	2628521	2105728	232122	270560	1904318	549421	6616754	1251054	1919618	86356	2285691	3356264	1088682	1121706	732260	832876	152411	3731128	527355	4153435	4437863	1276190	1806632	1371273	6275479	883542	1546958	160460	1459714	2129831	1939381	4339242	3697875	3457596	6060155	1708661	8982209	145470	1272637	3561587	6473023	8221404	3060881	3532914	2266019	3230235	2390774	1028438	517534	257094	331204	2510424	5258114	5951681	2712668	78304	2316991	1942847	21409	2395666	584019	1836632	11020273	4778954	1535793	62450	380159	497136	1102601	2582708	1918825	1587604	1349839	1462205	180614	200399	2049270	2717362	1982811	1530262	2286144	61330	4402376	459780	4940093	11070033	1921430	630073	1101551	3636464
13	1134930	550363	7105335	2096740	865367	2708799	909806	1911124	952935	760470	60457	442068	1243610	3954377	538974	729425	4184371	5270998	2774893	867283	1730615	2554943	6477505	1913569	667287	877345	1330239	1351543	4032007	10977111	1536498	543820	6206753	1347871	2195888	1086528	2271887	924426	1464409	381847	259910	3494488	3333982	3846196	1710592	1595908	3727469	1231411	5398877	2930399	4639949	1441238	1912712	1259173	1690118	5817221	2099501	1793495	1816484	1112144	814897	90936	1049099	1444863	911453	855703	1607012	1713070	2875970	611177	35221	2529237	2187222	2498565	3270003	0	2240957	308349	8778926	7642720	7341502	4693149	4243603	1357112	3319178	1150920	2813808	1726998	4038294	3258855	1517122	1387964	2133628	51954	3044283	792317	1735626	1376289	935055	1588579	450968	1057255
14	1078099	499794	7131909	1991351	819270	2656635	857613	1844119	917200	704060	30832	411662	1217663	3993579	517954	662478	4138116	5250825	2703436	805451	1685582	2509778	6456893	1841587	611488	853520	1299498	1287068	4012498	10943643	1497256	515854	6176292	1293710	2168136	1043534	2170127	846588	1509743	349118	191895	3464535	3129305	3789804	1667178	1842064	3743283	1205333	5371357	2913922	4619357	1393450	1886440	1302170	1765927	5783890	2667186	1775266	1794509	1068556	747224	70874	995692	1455585	842722	940314	1702395	1669919	2845918	587753	35221	2508595	2102359	2454559	3302422	1909107	2218657	277132	8759328	7609658	7318036	4729896	4212519	1327055	3286259	1100499	2779937	1696702	3992712	3247378	1468541	1339978	2076256	27063	2973578	752802	1685639	1305077	816185	1557899	430666	1030493
15	1222275	16388	5752642	5746592	911549	1515441	690446	1429950	479022	570243	9444	381996	1465039	4071596	388621	406884	1815988	5030272	2719710	453372	1447914	74304	1264965	2111404	25251	2664992	1424973	330481	2187182	620974	1736940	582319	5686780	1078450	2331235	735560	2503385	354370	1576674	156534	1012882	3002738	2594818	3922459	2875983	2595954	4076902	727972	2985504	1151484	7308972	1435948	2494442	1882355	776903	8271373	1563462	2158366	3955852	962863	1009180	83767	623617	2836959	802739	1480336	1585530	1308167	2726571	447629	31371	1757613	5391778	1993437	3068236	2786104	1723236	31689	8895249	9171996	8446807	5829977	6510980	738449	5413708	1411760	5620325	1544632	3675142	3083731	979108	829333	1464511	60584	3868030	1277019	1925850	1529713	1044832	2745183	172905	1305025
16	3313134	403377	1103823	1108790	5724332	309659	3235524	1559146	1348389	1561801	16777	352238	3069746	694100	51858	118986	1166751	451645	6821717	1613128	2508729	530196	1016274	4753715	944263	1621792	2162654	969898	238415	138118	460627	6157786	2125590	888428	928700	1825022	5444187	1020511	462731	163300	1892009	1176067	3240224	3770416	5448812	3109834	2221246	2534970	5571767	281821	2163378	1590230	6728604	5132515	2960290	2531804	925584	7177483	2419778	383852	404674	284847	135341	4234093	6406530	5003212	2501888	409909	1702471	1409495	33297	695573	1559758	751527	10639512	4195261	605071	520223	504875	1611732	1147393	2260399	1503233	1993354	989359	1508822	1071201	1174012	1909508	6553760	2856594	1433575	523897	100594	1326401	2791367	5363299	7172302	1238593	676502	303672	4398941
17	1329979	611821	6090446	1780969	893161	2545152	833774	3383905	690232	436989	11857	857092	2128185	4957370	649452	803264	5824429	2346518	4456007	538281	1684030	726949	2367979	1275821	457995	1115582	1697172	161140	702427	16832672	1309093	512875	2115826	2874693	2230467	597022	3381483	739915	1647318	369710	92813	3047908	4653844	2563015	1521011	1880269	1952960	873457	4256112	1843837	4915893	773151	2861630	698041	889096	3575372	2038135	3186376	1909237	1340310	1345156	92869	598649	1593511	836287	1466465	1620921	645304	3211617	442701	17812	3115737	2329054	2622133	1042479	0	2602858	151573	5856539	3716490	5089483	4449305	7377701	1442558	5652474	1166009	2219856	702493	3072540	2186009	1036092	1232542	2377716	39050	5176405	802883	2429749	1216818	1030818	1537964	420607	1036628
18	8441642	484174	193732	106085	1826297	247969	6009199	1366564	1154732	1440469	57708	620542	4054837	87528	36697	228400	1265203	236405	4839581	2305521	1570516	362690	2120076	2343099	1399162	1411968	1344684	1702725	378799	723466	34878	3027641	1313911	985958	1021116	1248644	11688641	389974	360475	383290	2297795	848751	2727400	4348991	3350973	3691216	2396196	2128332	6371896	96933	291391	2027167	3771861	12291760	4530914	914075	173929	0	1931581	845332	1356046	370689	29800	3414115	3860400	5874841	5848081	226179	3356964	7561029	54628	3030591	419251	529269	4860873	727562	247344	73451	134590	426843	236546	1143157	54796	2552099	332517	769266	149297	609919	1925512	4735373	2233489	1357273	479869	109370	244017	1912576	5735432	6868963	890039	712995	745986	3505969
19	1270947	576715	5378401	121915	855198	2304289	33017	2984756	713062	14330	11857	883096	1949085	3258611	671467	834969	5454575	2068922	4317334	38767	1638655	654237	2535418	1246017	420642	989551	1563293	215402	634396	5424897	1220163	25000	1895104	2695433	2190899	38612	3148616	783720	1634121	349519	117047	2769709	4203964	2410706	16535	1792333	1835614	792465	4006534	1682313	4646951	753492	2759741	665648	854880	3140820	1872315	3146573	1845504	1324001	1220386	67788	623790	1533001	775915	1366217	1563973	582023	3111632	12598	17812	3018371	2310746	2383677	927213	1207176	50018	187807	5141055	3262710	4576998	4219342	6940147	1323352	5289154	1118789	1971583	649354	2952814	1947363	1018433	1170027	2274624	39050	5103732	741632	2203420	1135578	18573	1498662	48152	1005442
20	2231956	1042	16980980	112408	170983	4447657	141443	34216	32310	1720687	1010535	18454	6673	58561	3281	2540521	1956	13133	1087510	9587	53127	47612	5594133	2343387	57423	5622382	3471169	35149	17169	794400	59029	1166799	4000834	73200	804239	57868	2794715	4842187	1582863	784736	485764	419845	53571	4122981	1055924	2451	970826	53917	1722546	1435418	8823912	1843908	5026217	2034076	14473870	2192830	0	788520	99966	7638	39552	2917149	47929	251516	3489801	1124197	955	85863	15664	3828785	48098	646015	826757	1119514	1086943	2045332	900623	2014309	46693	1537654	321510	1055968	6521549	0	129840	2058475	1219456	1250292	7394458	7479763	0	215301	5161640	366842	427934	4242	643215	51543	425661	5037	863134	457953
21	1444405	1819588	280751	453055	374775	449332	494387	22139	876066	1193869	13460	32751	2543078	7396272	33948	132859	207568	782480	7497396	754412	387225	178479	4680922	3252302	218669	321600	1216115	566800	512373	11977013	197053	289503	8295680	253872	690301	625840	1398597	224583	3420218	35714	152589	245695	1733748	568021	1901638	4830461	4697892	640774	9157317	15644	429887	2577986	8674579	4281792	2687143	8600283	805795	81483	3107186	2817761	72284	76371	72599	1621726	3003916	885070	844916	133485	344211	515689	21753	519433	260436	88866	780683	42423	434624	22636	4918676	1152374	801543	1083210	349966	832016	182008	1798285	988926	475320	156713	4387828	620049	963865	1815675	6135	3372893	252105	1085245	1384747	2845498	3886952	1264591	561547
22	174202	0	1202755	2190024	0	1042162	3456102	4070913	2017239	0	2211874	0	0	4874263	5108833	0	0	378954	3412321	279909	0	0	0	4761659	969	0	336	0	0	4311786	0	0	8676339	881829	0	245359	37264	635804	1425035	502	625	6482798	4908527	4690459	0	953521	1402335	441421	1175	487558	2071786	3924722	18388	2073120	4395277	7145046	4599475	2627230	7584313	4040300	460	0	722	2525353	0	333992	4678910	0	1639861	1009	0	5609764	441809	2902	0	7833517	426348	529	4335358	3467845	2155915	1064370	0	0	0	67903	650	882	7511791	944078	1942898	2611652	1514943	50382	4184145	650	0	0	5560530	681	972	0
23	2322784	1056054	2720467	1628281	748045	1121936	704065	1457669	1182108	2544930	990803	1601546	1466591	1488999	1458047	1467774	2295030	1090534	1039870	1059980	1282287	950546	1203498	1878313	1902352	1742776	1297720	1038707	1579789	1865302	1517324	1120744	1875844	1474629	2442944	1463337	1264376	1378380	1695143	1364127	1388470	1613204	1641550	1297712	1486290	970868	1814455	1588377	1526151	1989490	1161268	1512296	1759076	1686627	1356857	1722332	1468245	1054294	1832616	786714	218104	1225009	937968	993732	1299747	4764218	2280543	1046084	1717795	1537039	950823	2201314	932172	1680513	940722	1114348	1123987	934696	1191140	1570440	1658906	1449930	1636188	2459326	1325129	1605988	919369	1623331	1044045	948714	1316815	2781136	1870766	377881	1220768	1261168	1218764	3864672	610140	705171	1311058	1601442
24	952774	1508	1813764	1314012	1086576	744327	1151241	675490	957669	739829	512593	1220848	1066494	5152615	1675388	1633038	2524913	700952	1332820	1395448	1666589	947077	1523679	1564563	1603083	1503165	1091077	989785	1330591	1719785	1274485	569753	1311323	1075752	1124518	1444526	1099838	4262541	773580	1498419	1213756	1328678	945430	1243696	2052270	1594956	1574712	1287639	1387502	1266611	1099785	1107974	1606320	1062656	1116388	1208675	2372145	5190089	1829590	2843394	178500	968659	1127199	1267793	828323	1151600	864648	1145467	1756934	899445	729749	1250272	5011544	988589	1418731	11339419	970189	1058176	809809	1709533	1197027	878090	1399759	0	1078303	1188295	990489	973914	1101395	1094123	1029855	1159636	1008692	452123	5513603	1377054	773067	0	1029703	1031895	941884	1281383
25	922034	314542	3023466	1492634	968494	1395527	613680	1029802	461473	501664	10587	199403	755725	2231637	209810	240773	2366254	998645	1958866	525908	1254076	609305	4361118	1554187	311546	334285	911349	507839	715859	7497290	714277	577029	4345624	717249	1418224	874699	2208317	445843	819999	110043	145571	1939474	1746924	3185407	1588258	1579298	2807015	782609	5546327	1015123	2746285	2346985	1724958	838231	870659	4683395	6691080	730895	1300376	830841	324790	45189	297114	923410	870707	940721	973175	348428	1822138	357518	4705	1589074	898429	1203755	2542896	1300677	1781766	40609	2828052	3284588	4070762	3406598	2244103	638208	1860198	897900	946164	512788	2698846	1902346	1184845	771893	979322	8280	2651315	408636	1671310	1245423	550569	712134	199266	995702
26	2290269	18340	67037	114462	5484072	7864	1474405	249087	171363	495136	1770	10151	884675	15298	777	1152	84875	17945	3570026	461983	852441	12200	82582	2541434	90240	232911	506129	116622	6818	1929	17295	2665905	914785	24551	68679	395960	6935328	98715	19091	1020	409871	15531	931287	2999780	3874828	2964641	938611	753882	6952300	7661	520009	528752	5453057	4132438	1035892	48591	47322	4865218	759000	20225	15133	6532	1873	2617496	4404059	5750446	629950	14040	443753	291385	605	47058	603119	42451	7025817	6997985	12734	22057	24976	216666	117090	430839	189484	857908	121864	534610	82181	14769	343866	4606291	1230014	381524	30363	1050	729794	700287	3004001	11608876	238071	46574	7993	3617247
27	778647	31616	173826	45973	3875977	601431	377712	236247	72897	1245620	25336	401377	674327	1629652	34278	29343	743317	1610431	4037085	125507	1259832	43714	3417531	1110111	136419	31038	518174	123113	5454381	1287561	39239	72282	3630341	279423	15178	115900	3153450	172040	2631777	5966	92367	1789866	762321	4288739	1798949	52279	2441280	1206554	2440802	17155	171796	1845446	2095842	2419629	1173158	464429	3942003	250018	3749129	620591	12734	21890	6388	3103420	4858270	3362119	2471492	74343	4165357	1208165	861405	920238	1567	213470	2169237	132744	27632	2144	4258314	1046763	286558	2586970	476255	136746	364005	1350748	712889	292818	1988360	266783	1503398	356247	199179	125621	64908	33184	2243446	2738599	852157	34451	52972	78827
28	1745878	50186	91076	213286	2208109	498119	684456	427333	139853	677341	27038	567704	1248464	1363248	14372	29715	647144	2667798	2458730	211479	3316771	16972	2376714	4045299	165542	33198	707270	135943	2473448	556206	30762	2906164	1205173	458521	2899433	150280	1734206	226224	1801745	9857	138566	997856	370596	3035203	3630622	869583	488315	556143	3745851	11509	221811	3399037	3254576	1849386	675547	667178	2800628	167550	2120187	1620139	18010	1638	2922	2222187	2647506	1980528	3360717	42874	2501870	630816	754812	1696418	17263	415013	3642264	12495	2302985	0	711609	327913	144679	1377728	856637	25227	593864	884461	434695	42227	1158913	135635	3894871	518602	361277	35902	635830	24917	1240169	4359401	706047	29883	185899	2744442
29	998971	1274666	294745	573978	680877	387894	261193	283788	474513	557666	11857	32751	1918785	7223389	33948	109007	187802	866302	4202329	500953	294700	201895	2746120	2239715	230169	336827	919021	659928	526707	7465353	162364	175326	4360509	209539	1145799	447510	838157	134898	1919810	38524	195969	157709	1473150	795760	1168689	2343722	2600639	738845	5419618	16076	454316	1420319	5164442	2647890	1423179	6127761	915448	31393	1862926	1903046	35659	59160	106342	886939	2283203	578304	527943	153713	549388	283853	25879	284444	161405	80976	421688	57720	259432	22216	4023828	1338332	887870	703225	497415	589772	125433	1022881	1015628	523139	244134	3941867	479522	536924	781250	18475	1610188	233183	821711	651112	1474941	3009466	937269	365254
30	1157532	450106	169417	490821	6696003	36811	517587	277199	1028054	1728643	5575	145563	1094983	226022	37318	32923	676108	360257	1918035	2915443	861987	397220	426747	1535564	59607	3594571	1223615	179057	28285	34031	328782	704779	345807	688845	167137	1093688	2830474	114512	117595	63350	878635	230263	1183473	1357700	4446633	1140066	490448	732463	1806341	48425	2074211	590779	3627985	1593413	2116356	680845	513778	6060914	1619209	199889	392509	95749	84162	2968530	3050311	1339764	289374	565538	568491	511148	28973	274133	1271747	171750	3844783	2439630	368689	634031	366764	709612	514344	647047	332816	629936	260625	751524	1206786	1182278	469336	5851186	1697823	507625	300599	98970	414646	3860371	1392783	2444522	167580	562719	201359	1611141
31	778647	597803	250278	19997	1331958	2505833	1120457	900782	672641	354972	25336	1131535	2446637	1629652	43482	29343	2164446	1994513	1384910	43213	2159169	14532	1258205	1226196	137439	27078	1833654	123113	1793111	1287561	335333	2145374	58357	881663	1594239	680225	1112621	514635	890811	9123	483651	605663	174814	1424280	1798949	1467117	710339	407469	2440802	17155	282755	1845446	2095842	2419629	348461	1543711	1513248	908766	1250331	2091943	12734	21890	6388	1216182	12320	1016942	5573509	154976	22689	564953	2313572	2978294	0	388516	5444960	131411	3470143	5327	1122936	2714446	579278	862134	500130	343944	347768	1350748	259388	113943	656349	1498010	1503398	1108935	363597	248888	1053860	156796	653752	2738599	1235987	34451	17936	1910749
