#SampleID	CF010.-355D.RA5.01.35268.mzXML	CF012.23D.RA1.01.35522.mzXML	CF034.-327D.RA9.01.35276.mzXML	CF034.51D.RH4.01.35446.mzXML	CF037.-196D.RD8.01.35352.mzXML	CF041.-222D.RC9.01.35328.mzXML	CF046.-140D.RE10.01.35382.mzXML	CF053.0D.RF12.01.35412.mzXML	CF061.-140D.RE9.01.35380.mzXML	CF061.-14D.RF9.01.35406.mzXML	CF064.-222D.RC10.01.35330.mzXML	CF066.-131D.RF2.01.35392.mzXML	CF069.-173D.RE1.01.35364.mzXML	CF075.156D.BA7.01.35481.mzXML	CF077.-131D.RF1.01.35390.mzXML	CF082.-161D.RE3.01.35368.mzXML	CF083.-313D.RB1.01.35286.mzXML	CF086.-243D.RC4.01.35318.mzXML	CF092.21D.RG12.01.35437.mzXML	CF093.65D.RH5.01.35448.mzXML	CF095.-14D.RF10.01.35408.mzXML	CF104.0D.RF11.01.35410.mzXML	CF107.-215D.RC12.01.35334.mzXML	CF130.-271D.RB11.01.35306.mzXML	CF138.23D.RH1.01.35440.mzXML	CF139.-313D.RB2.01.35288.mzXML	CF142.-180D.RD11.01.35358.mzXML	CF146.91D.RH9.01.35456.mzXML	CF148.-243D.RC3.01.35316.mzXML	CF149.-327D.RA8.01.35274.mzXML	CF151.-243D.RC2.01.35314.mzXML	CF151.14D.RG6.01.35425.mzXML	CF154.-327D.RA10.01.35278.mzXML	CF157.-159D.RE5.01.35372.mzXML	CF160.-224D.RC8.01.35326.mzXML	CF167.-203D.RD5.01.35346.mzXML	CF175.-138D.RE12.01.35386.mzXML	CF176.133D.BA4.01.35474.mzXML	CF178.-278D.RB10.01.35304.mzXML	CF188.-194D.RD9.01.35354.mzXML	CF188.23D.RH2.01.35442.mzXML	CF189.-61D.RF6.01.35400.mzXML	CF193.-285D.RB9.01.35302.mzXML	CF204.-215D.RD2.01.35340.mzXML	CF211.-168D.RE2.01.35366.mzXML	CF217.14D.RA2.01.35524.mzXML	CF222.-320D.RA11.01.35280.mzXML	CF225.-201D.RD6.01.35348.mzXML	CF229.-271D.RB12.01.35308.mzXML	CF230.-313D.RB3.01.35290.mzXML	CF230.2D.RG4.01.35421.mzXML	CF231.-285D.RB8.01.35300.mzXML	CF234.-124D.RF3.01.35394.mzXML	CF235.-285D.RB7.01.35298.mzXML	CF236.-362D.RA2.01.35262.mzXML	CF239.-336D.RA6.01.35270.mzXML	CF246.-215D.RD1.01.35338.mzXML	CF247.135D.BA6.01.35478.mzXML	CF252.-138D.RE11.01.35384.mzXML	CF252.114D.RA3.01.35526.mzXML	CF254.-0D.RG1.01.35415.mzXML	CF259.2D.RG2.01.35417.mzXML	CF259.79D.RH7.01.35452.mzXML	CF262.-187D.RD10.01.35356.mzXML	CF264.-124D.RF5.01.35398.mzXML	CF269.-152D.RE7.01.35376.mzXML	CF272.-362D.RA1.01.35260.mzXML	CF277.-159D.RE4.01.35370.mzXML	CF278.-217D.RC11.01.35332.mzXML	CF282.-208D.RD3.01.35342.mzXML	CF287.-243D.RC5.01.35320.mzXML	CF290.-173D.RD12.01.35360.mzXML	CF292.135D.BA5.01.35476.mzXML	CF298.-320D.RA12.01.35282.mzXML	CF299.-299D.RB5.01.35294.mzXML	CF301.156D.BA8.01.35483.mzXML	CF302.2D.RA4.01.35528.mzXML	CF312.-152D.RE8.01.35378.mzXML	CF318.-236D.RC6.01.35322.mzXML	CF318.-299D.RB4.01.35292.mzXML	CF318.-344D.RA7.01.35272.mzXML	CF318.-355D.RA4.01.35266.mzXML	CF318.114D.RH12.01.35462.mzXML	CF318.79D.RH8.01.35454.mzXML	CF318.93D.RH11.01.35460.mzXML	CF326.2D.RG5.01.35423.mzXML	CF328.-61D.RF7.01.35402.mzXML	CF338.-208D.RD4.01.35344.mzXML	CF339.-159D.RE6.01.35374.mzXML	CF342.-124D.RF4.01.35396.mzXML	CF343.77D.RH6.01.35450.mzXML	CF344.-196D.RD7.01.35350.mzXML	CF344.21D.RG10.01.35433.mzXML	CF35.-362D.RA3.01.35264.mzXML	CF353.128D.BA3.01.35472.mzXML	CF355.-266D.RC1.01.35312.mzXML	CF356.16D.RG8.01.35429.mzXML	CF371.-14D.RF8.01.35404.mzXML	CF374.128D.BA2.01.35470.mzXML	CF375.91D.RH10.01.35458.mzXML	CF377.21D.RG11.01.35435.mzXML	CF95.-224D.RC7.01.35324.mzXML
338	95085	77946	176448	95666	189742	83964	85599	60737	171541	124590	122553	228286	170804	28563	465944	380048	179769	111061	72909	148522	93234	115089	151960	150559	142800	171757	160165	105046	173798	163510	153448	63248	83520	206890	75888	144993	193206	57768	93791	1112882	160849	87148	93368	165721	105653	106170	65412	136678	213983	127444	114759	51468	222263	338436	111794	112202	205363	77926	123489	42423	65603	173456	162666	94941	71453	89499	124121	172879	94825	376283	670799	145930	58856	224620	71749	68309	95249	113928	69746	102653	116083	93844	155477	98408	81877	54651	223222	571623	89222	187023	125315	130482	67676	85875	93855	170142	78875	123118	72570	217273	238248	90058
339	21479	15906	258988	74514	52060	179667	42401	32103	20050	27955	925	30544	209692	177831	16704	4901	41708	594011	204888	18740	161151	46437	618593	278837	13696	59989	29487	13201	338218	47383	36535	34524	863173	62220	228812	32541	137849	32664	97920	842	8103	375731	191766	234891	196722	106528	508413	32705	324523	48250	231678	176909	226225	123488	81501	629016	1013015	126758	146118	92700	30216	334	618	175928	38446	110065	276526	21622	382156	35913	796	173568	133676	215305	476737	177978	100462	1580	570711	348354	355547	131520	143831	29810	107108	111396	34710	26607	193628	47431	110375	96351	115962	9382	82074	56932	97768	197002	58879	43136	14611	130183
340	156868	83655	231550	133907	68045	91802	87513	55816	62066	76320	119889	170033	243554	323199	171826	205387	336029	210454	140387	146337	271328	108580	168215	236437	246625	214165	85770	82837	117550	213853	117247	62198	167397	85220	197883	198818	95656	354985	164521	97749	143763	128349	171417	292271	269554	62007	255092	113129	183241	211256	92701	131020	169004	188871	118826	246422	317901	246831	200597	195373	14410	154989	166344	89588	55559	253918	167164	85268	238631	105055	178769	102294	153321	254995	288364	6651	90148	77079	99108	198925	168531	92637	153932	71372	99128	93422	67906	98803	167585	75860	114014	88256	80650	32918	186707	139851	65137	98754	185424	97975	147984	233902
341	54563	5272	121147	243896	605427	3009	51773	20682	16765	14114	307	1288	65045	89522	2382	1188	66513	72549	354961	100165	18152	24759	23945	16238	6514	12432	249814	25970	3578	1885	36512	38774	24567	12048	19021	62324	587981	8098	12660	599	230402	10703	221317	74377	455310	95891	70555	182549	370411	3542	768862	36243	503961	357367	284171	332378	67725	2976	26465	10622	20846	1530	8055	215016	189247	102081	23220	68982	15004	11817	556	18854	122002	18625	1194386	591473	32045	30611	324551	484223	223706	213983	171847	48327	78907	13983	420445	20167	77891	2241631	19151	28489	23626	3184	54774	302448	144512	433518	10136	191865	8955	23496
342	57707	7263	32803	22038	292021	432003	27659	223934	4741	46229	1088	62163	229932	189245	3469	3909	148503	126806	144321	1762	219546	1316	379335	60986	4390	0	35267	11110	163131	1077502	6096	166997	465116	40188	148855	7897	305008	67477	90705	0	8449	346081	147437	195548	174928	168217	521090	36285	448019	681	5170	255892	236123	422788	12458	297545	640120	66454	313391	118341	310	992	0	141320	270302	172754	203478	2470	196900	2649	0	228932	9609	704961	231156	0	119113	660	525783	246476	192525	181077	140215	1259	185888	149258	0	0	253993	40838	238223	12428	18832	0	110572	10956	178199	386802	237215	731	2384	221648
343	35028	31029	45177	48029	121253	212565	141112	16890	56417	15621	3032	28983	35506	195934	5001	21737	27607	153906	177196	9246	442391	523	1555057	206059	1173	622	11859	4296	587472	314980	10455	247612	509675	12855	226331	22508	15383	11169	151786	514	10663	14725	20285	270196	433575	252281	232334	4101	19086	938	110820	95593	366519	263897	48970	482512	682434	13731	401209	220592	563	390	409	202439	26513	154734	131211	2424	285369	28350	1991	513638	7619	210098	803677	245574	420493	422	255861	12371	55163	24373	73079	7509	69678	140887	3304	2283	330319	74058	191471	20868	14709	300	266262	16831	21258	485379	254425	65965	3280	201129
344	143638	25521	215365	248670	317795	40700	109661	58856	31367	27512	1817	17032	93919	15079	27376	22025	100038	150300	208535	156184	22902	72502	94317	137788	35666	272615	264085	31213	56260	21175	93269	51548	85632	66879	46487	27596	240100	34251	34834	5926	153734	39668	99638	59204	230455	84029	82134	163912	378314	39163	791129	48131	587290	330631	320314	265475	36009	855947	37035	21144	96575	19382	41927	437184	136332	260342	43789	86243	83645	39312	10824	16289	250167	33144	410201	399822	30227	40006	369414	455931	364620	234759	221370	73642	158158	26453	342000	209639	94172	585506	44995	82125	56703	22159	38970	229709	221613	355156	26006	167502	42778	40243
345	53451	80629	216701	99889	101535	206578	60680	69748	91182	79632	75316	380814	486716	21703	396481	200289	448749	494735	53621	229500	53605	60578	32292	127974	298877	269377	34629	175023	291684	66953	360928	30527	597017	79625	181789	54682	138608	23129	150166	51255	274813	27542	54107	483088	201199	3813	79850	63840	150148	258933	67462	34012	236708	73924	111831	50374	964170	32607	43257	897	326229	327963	124497	23880	75660	57798	283403	82007	13888	293389	169816	62415	118022	204683	80952	4270	9567	83908	86207	31916	42160	67855	63625	113861	75788	12310	60573	150887	47206	154123	194433	37377	76080	64012	33042	682806	60241	51324	74099	125891	115935	316278
346	9776	1940	41399	12593	208931	79829	19280	46342	6401	10473	12865	26087	33768	25977	49888	49703	69939	453660	13519	10427	407066	104531	35284	23681	18504	100226	78790	25424	312158	215006	2917	233787	923459	29653	143780	6338	14435	34574	698119	8536	41331	837732	617865	4664	11113	9950	79807	26522	164304	30896	15566	84902	21290	286787	111784	2194380	628188	23616	214537	23674	20556	32700	89106	34880	165861	13677	70926	38234	39841	145052	148508	188999	44526	25035	1089738	652426	33455	1037	7145	291112	49345	106530	23079	127126	38459	18788	176550	155730	13397	34816	240898	19890	20755	11360	34703	251661	103686	108228	37955	213173	8793	139046
347	29892	44527	91118	137601	126397	173584	102961	20780	160513	31388	1221	24382	17206	159458	14466	38134	22509	90942	72778	7534	354181	590	2317441	99181	1552	1149	1342	3632	970646	183396	14948	275057	155952	1970	111488	16212	14268	22844	107812	924	3893	7048	16661	123429	206592	337002	247357	593	25965	710	434079	52977	271573	176421	112309	255295	912916	56698	273016	209578	948	558	0	117693	23295	80702	205207	2605	151162	18363	2521	450905	13842	77115	792599	0	608199	620	136840	12751	38688	19062	73984	1256	91591	74234	1353	542	255003	134935	256352	17183	9493	4081	373717	10521	8964	327902	579643	186304	561	186622
